content,sentiment
The keyboard stopped typing certain keys which is annoying,negative
The art gallery was full of captivating pieces,positive
The event was alright but lacked excitement,neutral
The washing machine flooded the laundry room,negative
The painting was vibrant and full of life,positive
The discussion was fine but could be more interactive,neutral
The chair broke when I sat on it which is disappointing,negative
The movie had stunning visuals and a great plot,positive
The class was okay but not very engaging,neutral
The microwave stopped heating food evenly,negative
The view from the cabin was breathtaking and peaceful,positive
The article was informative but not very engaging,neutral
The gaming console stopped working suddenly,negative
The waterfall was mesmerizing and soothing,positive
The lecture was fine but could use more examples,neutral
The alarm clock stopped working after a power outage,negative
The dog park was full of playful dogs and friendly owners,positive
The recipe was okay but needed more seasoning,neutral
The iron stopped steaming clothes properly,negative
The vacation was filled with laughter and great memories,positive
The workshop was somewhat informative but a bit boring,neutral
The printer ran out of ink quickly which is inconvenient,negative
The novel was gripping and hard to put down,positive
The tutorial was fine but could use more detailed instructions,neutral
The blender stopped working while making a smoothie,negative
The landscape was stunning and perfect for photographs,positive
The session was okay but not very interactive,neutral
The headphones broke after a month of use,negative
The aquarium was full of fascinating sea creatures,positive
The meeting was alright but could use more structure,neutral
The lamp stopped working after a few days,negative
The garden party was elegant and enjoyable,positive
The interface was okay but not very intuitive,neutral
The power bank stopped charging devices efficiently,negative
The recipe was easy to follow and resulted in delicious food,positive
The report was okay but could use more graphs,neutral
The flashlight stopped working in the middle of a hike,negative
The mountain view was stunning and worth the hike,positive
The feedback was fine but not very actionable,neutral
The headphones broke unexpectedly which is frustrating,negative
The brunch was delightful and had a variety of options,positive
The exercise class was okay but could be more challenging,neutral
The refrigerator stopped cooling food properly,negative
The beach was serene and perfect for relaxation,positive
The guide was fine but could use more enthusiasm,neutral
The smartwatch stopped syncing with my phone,negative
The city skyline was breathtaking and full of lights,positive
The demonstration was okay but could use more detail,neutral
The vacuum cleaner stopped picking up dirt effectively,negative
The theater performance was captivating and well executed,positive
The phone was okay but could use more features,neutral
The laptop stopped charging after a few months,negative
The spa was luxurious and provided a great experience,positive
The menu was okay but lacked variety,neutral
The remote stopped working after falling off the couch,negative
The park was full of beautiful scenery and wildlife,positive

